Year,ARDY,Cohort,ASFR
1971,12-,1959+,0
1971,13,1958,0
1971,14,1957,0.00004
1971,15,1956,0.00042
1971,16,1955,0.00217
1971,17,1954,0.0083
1971,18,1953,0.02584
1971,19,1952,0.06241
1971,20,1951,0.11322
1971,21,1950,0.15597
1971,22,1949,0.18059
1971,23,1948,0.186
1971,24,1947,0.17886
1971,25,1946,0.1633
1971,26,1945,0.14846
1971,27,1944,0.13646
1971,28,1943,0.12211
1971,29,1942,0.10892
1971,30,1941,0.09815
1971,31,1940,0.08695
1971,32,1939,0.07643
1971,33,1938,0.06697
1971,34,1937,0.05868
1971,35,1936,0.05172
1971,36,1935,0.04463
1971,37,1934,0.0384
1971,38,1933,0.03304
1971,39,1932,0.02759
1971,40,1931,0.02305
1971,41,1930,0.01807
1971,42,1929,0.01255
1971,43,1928,0.00808
1971,44,1927,0.00493
1971,45,1926,0.00275
1971,46,1925,0.00154
1971,47,1924,0.00089
1971,48,1923,0.00044
1971,49,1922,0.0002
1971,50,1921,0.00009
1971,51,1920,0.00004
1971,52,1919,0.00002
1971,53,1918,0.00001
1971,54,1917,0
1971,55+,1916-,0
1972,12-,1960+,0
1972,13,1959,0
1972,14,1958,0.00004
1972,15,1957,0.00039
1972,16,1956,0.00222
1972,17,1955,0.00841
1972,18,1954,0.02446
1972,19,1953,0.05706
1972,20,1952,0.1056
1972,21,1951,0.1509
1972,22,1950,0.17794
1972,23,1949,0.18756
1972,24,1948,0.18131
1972,25,1947,0.1676
1972,26,1946,0.15264
1972,27,1945,0.13364
1972,28,1944,0.12224
1972,29,1943,0.11086
1972,30,1942,0.09548
1972,31,1941,0.08478
1972,32,1940,0.07607
1972,33,1939,0.06726
1972,34,1938,0.05868
1972,35,1937,0.05073
1972,36,1936,0.04347
1972,37,1935,0.03772
1972,38,1934,0.03228
1972,39,1933,0.02672
1972,40,1932,0.02251
1972,41,1931,0.01805
1972,42,1930,0.01237
1972,43,1929,0.00768
1972,44,1928,0.00448
1972,45,1927,0.00244
1972,46,1926,0.00137
1972,47,1925,0.00079
1972,48,1924,0.00039
1972,49,1923,0.00018
1972,50,1922,0.00008
1972,51,1921,0.00004
1972,52,1920,0.00002
1972,53,1919,0.00001
1972,54,1918,0
1972,55+,1917-,0
1973,12-,1961+,0
1973,13,1960,0
1973,14,1959,0.00004
1973,15,1958,0.00038
1973,16,1957,0.00217
1973,17,1956,0.00858
1973,18,1955,0.02538
1973,19,1954,0.05921
1973,20,1953,0.10612
1973,21,1952,0.14942
1973,22,1951,0.17964
1973,23,1950,0.1872
1973,24,1949,0.18214
1973,25,1948,0.16971
1973,26,1947,0.15382
1973,27,1946,0.13735
1973,28,1945,0.12074
1973,29,1944,0.1103
1973,30,1943,0.09922
1973,31,1942,0.08564
1973,32,1941,0.07475
1973,33,1940,0.0667
1973,34,1939,0.05974
1973,35,1938,0.05118
1973,36,1937,0.04387
1973,37,1936,0.03767
1973,38,1935,0.03193
1973,39,1934,0.02633
1973,40,1933,0.02207
1973,41,1932,0.01759
1973,42,1931,0.01204
1973,43,1930,0.00754
1973,44,1929,0.00444
1973,45,1928,0.00249
1973,46,1927,0.00144
1973,47,1926,0.00083
1973,48,1925,0.00042
1973,49,1924,0.0002
1973,50,1923,0.00009
1973,51,1922,0.00004
1973,52,1921,0.00002
1973,53,1920,0.00001
1973,54,1919,0
1973,55+,1918-,0
1974,12-,1962+,0
1974,13,1961,0
1974,14,1960,0.00004
1974,15,1959,0.00043
1974,16,1958,0.00239
1974,17,1957,0.00908
1974,18,1956,0.02669
1974,19,1955,0.06188
1974,20,1954,0.10958
1974,21,1953,0.15003
1974,22,1952,0.17894
1974,23,1951,0.18995
1974,24,1950,0.18327
1974,25,1949,0.17073
1974,26,1948,0.15529
1974,27,1947,0.13948
1974,28,1946,0.12304
1974,29,1945,0.10819
1974,30,1944,0.09924
1974,31,1943,0.08712
1974,32,1942,0.07344
1974,33,1941,0.0651
1974,34,1940,0.05768
1974,35,1939,0.05037
1974,36,1938,0.0438
1974,37,1937,0.03679
1974,38,1936,0.03059
1974,39,1935,0.02585
1974,40,1934,0.02206
1974,41,1933,0.0174
1974,42,1932,0.01186
1974,43,1931,0.00745
1974,44,1930,0.00441
1974,45,1929,0.00251
1974,46,1928,0.00148
1974,47,1927,0.00085
1974,48,1926,0.00043
1974,49,1925,0.0002
1974,50,1924,0.00009
1974,51,1923,0.00004
1974,52,1922,0.00002
1974,53,1921,0.00001
1974,54,1920,0
1974,55+,1919-,0
1975,12-,1963+,0
1975,13,1962,0
1975,14,1961,0.00005
1975,15,1960,0.0005
1975,16,1959,0.00264
1975,17,1958,0.00981
