Year,ARDY,Cohort,Total
1971,12-,1959+,0.02
1971,13,1958,0.73
1971,14,1957,14.11
1971,15,1956,144.92
1971,16,1955,763.08
1971,17,1954,2845.64
1971,18,1953,8795.89
1971,19,1952,21076.99
1971,20,1951,37689.58
1971,21,1950,50388.54
1971,22,1949,54808.36
1971,23,1948,55593.23
1971,24,1947,50044.17
1971,25,1946,42037.17
1971,26,1945,28737.61
1971,27,1944,25793.59
1971,28,1943,22411.33
1971,29,1942,19871.7
1971,30,1941,19055.92
1971,31,1940,18123.47
1971,32,1939,16220.63
1971,33,1938,14349.65
1971,34,1937,12745.23
1971,35,1936,11627.57
1971,36,1935,10022.04
1971,37,1934,8496.93
1971,38,1933,7212.01
1971,39,1932,6360.5
1971,40,1931,5380.52
1971,41,1930,4460.36
1971,42,1929,2925.53
1971,43,1928,1880.81
1971,44,1927,1088.07
1971,45,1926,616.63
1971,46,1925,366.18
1971,47,1924,198.06
1971,48,1923,97.47
1971,49,1922,43.21
1971,50,1921,16.3
1971,51,1920,7.14
1971,52,1919,2.79
1971,53,1918,0.93
1971,54,1917,0.35
1971,55+,1916-,0.04
1972,12-,1960+,0.02
1972,13,1959,0.6
1972,14,1958,12.04
1972,15,1957,133.33
1972,16,1956,764.02
1972,17,1955,2941.16
1972,18,1954,8357.41
1972,19,1953,19365.21
1972,20,1952,35582.25
1972,21,1951,50087.74
1972,22,1950,57332.3
1972,23,1949,56825.61
1972,24,1948,54141.28
1972,25,1947,46780.01
1972,26,1946,39206.09
1972,27,1945,25771.22
1972,28,1944,23046.53
1972,29,1943,20309.17
1972,30,1942,17408.1
1972,31,1941,16428.22
1972,32,1940,15822.13
1972,33,1939,14262.58
1972,34,1938,12556.96
1972,35,1937,10988.12
1972,36,1936,9762.79
1972,37,1935,8447.18
1972,38,1934,7123.8
1972,39,1933,5819.38
1972,40,1932,5178.44
1972,41,1931,4198.62
1972,42,1930,3040.67
1972,43,1929,1784.98
1972,44,1928,1041.15
1972,45,1927,535.99
1972,46,1926,307.37
1972,47,1925,186.22
1972,48,1924,87.3
1972,49,1923,40.25
1972,50,1922,17.46
